tabla,variable,etiqueta,bloque,bloque_etiqueta,tipo,expr,denominador,tema,tema_etiqueta
unidades,ficha,Lógico: si el INE libera la ficha de indicadores de esta unidad,unidad,Unidad censal,categorica,CASE WHEN ficha THEN 1 ELSE 0 END,1,identificacion,Identificación de registros
unidades,personas,Personas empadronadas en la unidad,unidad,Unidad censal,numerica,personas,,poblacion,Población
unidades,viviendas,Viviendas empadronadas en la unidad,unidad,Unidad censal,numerica,viviendas,,vivienda_hogar,Vivienda y hogar
fichas,pob_edad_0a19,Población de 0 a 19 años,poblacion,Población,numerica,(pob_edad_0a19_h + pob_edad_0a19_m),(pob_total_h + pob_total_m),poblacion,Población
fichas,pob_edad_0a19_h,"Población de 0 a 19 años, hombres",poblacion,Población,numerica,pob_edad_0a19_h,pob_total_h,poblacion,Población
fichas,pob_edad_0a19_m,"Población de 0 a 19 años, mujeres",poblacion,Población,numerica,pob_edad_0a19_m,pob_total_m,poblacion,Población
fichas,pob_edad_20a39,Población de 20 a 39 años,poblacion,Población,numerica,(pob_edad_20a39_h + pob_edad_20a39_m),(pob_total_h + pob_total_m),poblacion,Población
fichas,pob_edad_20a39_h,"Población de 20 a 39 años, hombres",poblacion,Población,numerica,pob_edad_20a39_h,pob_total_h,poblacion,Población
fichas,pob_edad_20a39_m,"Población de 20 a 39 años, mujeres",poblacion,Población,numerica,pob_edad_20a39_m,pob_total_m,poblacion,Población
fichas,pob_edad_40a59,Población de 40 a 59 años,poblacion,Población,numerica,(pob_edad_40a59_h + pob_edad_40a59_m),(pob_total_h + pob_total_m),poblacion,Población
fichas,pob_edad_40a59_h,"Población de 40 a 59 años, hombres",poblacion,Población,numerica,pob_edad_40a59_h,pob_total_h,poblacion,Población
fichas,pob_edad_40a59_m,"Población de 40 a 59 años, mujeres",poblacion,Población,numerica,pob_edad_40a59_m,pob_total_m,poblacion,Población
fichas,pob_edad_60ymas,Población de 60 o más años,poblacion,Población,numerica,(pob_edad_60ymas_h + pob_edad_60ymas_m),(pob_total_h + pob_total_m),poblacion,Población
fichas,pob_edad_60ymas_h,"Población de 60 o más años, hombres",poblacion,Población,numerica,pob_edad_60ymas_h,pob_total_h,poblacion,Población
fichas,pob_edad_60ymas_m,"Población de 60 o más años, mujeres",poblacion,Población,numerica,pob_edad_60ymas_m,pob_total_m,poblacion,Población
fichas,pob_total,Población total,poblacion,Población,numerica,(pob_total_h + pob_total_m),,poblacion,Población
fichas,pob_total_h,"Población total, hombres",poblacion,Población,numerica,pob_total_h,,poblacion,Población
fichas,pob_total_m,"Población total, mujeres",poblacion,Población,numerica,pob_total_m,,poblacion,Población
fichas,edu_ninguno,Nivel de instrucción ninguno,educacion,Educación,numerica,(edu_ninguno_h + edu_ninguno_m),(edu_total_h + edu_total_m),educacion,Educación
fichas,edu_ninguno_h,"Nivel de instrucción ninguno, hombres",educacion,Educación,numerica,edu_ninguno_h,edu_total_h,educacion,Educación
fichas,edu_ninguno_m,"Nivel de instrucción ninguno, mujeres",educacion,Educación,numerica,edu_ninguno_m,edu_total_m,educacion,Educación
fichas,edu_ns,Nivel de instrucción sin especificar,educacion,Educación,numerica,(edu_ns_h + edu_ns_m),(edu_total_h + edu_total_m),educacion,Educación
fichas,edu_ns_h,"Nivel de instrucción sin especificar, hombres",educacion,Educación,numerica,edu_ns_h,edu_total_h,educacion,Educación
fichas,edu_ns_m,"Nivel de instrucción sin especificar, mujeres",educacion,Educación,numerica,edu_ns_m,edu_total_m,educacion,Educación
fichas,edu_primaria,Nivel de instrucción primaria,educacion,Educación,numerica,(edu_primaria_h + edu_primaria_m),(edu_total_h + edu_total_m),educacion,Educación
fichas,edu_primaria_h,"Nivel de instrucción primaria, hombres",educacion,Educación,numerica,edu_primaria_h,edu_total_h,educacion,Educación
fichas,edu_primaria_m,"Nivel de instrucción primaria, mujeres",educacion,Educación,numerica,edu_primaria_m,edu_total_m,educacion,Educación
fichas,edu_secundaria,Nivel de instrucción secundaria,educacion,Educación,numerica,(edu_secundaria_h + edu_secundaria_m),(edu_total_h + edu_total_m),educacion,Educación
fichas,edu_secundaria_h,"Nivel de instrucción secundaria, hombres",educacion,Educación,numerica,edu_secundaria_h,edu_total_h,educacion,Educación
fichas,edu_secundaria_m,"Nivel de instrucción secundaria, mujeres",educacion,Educación,numerica,edu_secundaria_m,edu_total_m,educacion,Educación
fichas,edu_superior,Nivel de instrucción superior,educacion,Educación,numerica,(edu_superior_h + edu_superior_m),(edu_total_h + edu_total_m),educacion,Educación
fichas,edu_superior_h,"Nivel de instrucción superior, hombres",educacion,Educación,numerica,edu_superior_h,edu_total_h,educacion,Educación
fichas,edu_superior_m,"Nivel de instrucción superior, mujeres",educacion,Educación,numerica,edu_superior_m,edu_total_m,educacion,Educación
fichas,edu_total,Población de 19 o más años,educacion,Educación,numerica,(edu_total_h + edu_total_m),,educacion,Educación
fichas,edu_total_h,"Población de 19 o más años, hombres",educacion,Educación,numerica,edu_total_h,,educacion,Educación
fichas,edu_total_m,"Población de 19 o más años, mujeres",educacion,Educación,numerica,edu_total_m,,educacion,Educación
fichas,salud_lugar_cajasalud,Acude a caja de salud,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_cajasalud_h + salud_lugar_cajasalud_m),(salud_lugar_total_h + salud_lugar_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_cajasalud_h,"Acude a caja de salud, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_cajasalud_h,salud_lugar_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_cajasalud_m,"Acude a caja de salud, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_cajasalud_m,salud_lugar_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_casero,Acude a remedios caseros,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_casero_h + salud_lugar_casero_m),(salud_lugar_total_h + salud_lugar_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_casero_h,"Acude a remedios caseros, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_casero_h,salud_lugar_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_casero_m,"Acude a remedios caseros, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_casero_m,salud_lugar_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_centroprivado,Acude a consultorio/clínica/hospital privado,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_centroprivado_h + salud_lugar_centroprivado_m),(salud_lugar_total_h + salud_lugar_total_m),salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_centroprivado_h,"Acude a consultorio/clínica/hospital privado, hombres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_centroprivado_h,salud_lugar_total_h,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_centroprivado_m,"Acude a consultorio/clínica/hospital privado, mujeres",salud_lugar,Salud · dónde se atienden,numerica,salud_lugar_centroprivado_m,salud_lugar_total_m,salud_seguridad_social,Salud y seguridad social
fichas,salud_lugar_centropublico,Acude a puesto/centro/hospital de salud público,salud_lugar,Salud · dónde se atienden,numerica,(salud_lugar_centropublico_h + salud_lugar_centropublico_m),(salud_lugar_total_h + salud_lugar_total_m),salud_seguridad_social,Salud y seguridad social
