"anio","tabla","variable","definicion","pregunta_literal","universo_literal","regla_derivacion"
1976,"poblacion","area","Desde el Censo realizado en 1950, se ha considerado área urbana a todos los centros poblados en los que habitan 2000 o más personas y por lo tanto área rural, a todo centro poblado o área dospersa en la que habitan menos de 2000 personas, definiciones que en su momento fueron adoptadas. Sin embargo, el INE seguirá utilizando las definiciones adoptadas desde 1950, a la espera que las instituciones que tiene que ver con el ordenamiento territorial y temas a fines ""redefinan"" lo que debemos entender por área urbana y área rural.","","Todas las áreas geográficas abarcadas por el censo.",""
1976,"poblacion","can","Cantón de la provincia en el que está situada la vivienda.","Canton","Todos los cantones de las provincias de la república de Bolivia.",""
1976,"poblacion","ciu","Ciudad donde está ubicada la vivienda.","Ciudad o localidad","Todas las ciudades de la república de Bolivia",""
1976,"poblacion","dep","En Bolivia, los departamentos son las entidades subnacionales mayores del país en las que se subdivide el territorio del Estado. Desde el 4 de abril de 2010, cuentan con autonomía reconocida por la constitución a nivel ejecutivo y legislativo pero no judicial.","Departamento","Todos los departamentos de la República de Bolivia",""
1976,"poblacion","i10p","Número de vivienda donde se realizo el censo.","","Todas los hogares que se realizó el censo.",""
1976,"poblacion","i13p","Número de Hogares dentro de la vivienda donde se realizo el censo.","","Todas las personas en el territorio nacional, que pasaron la noche anterior al día del censo.",""
1976,"poblacion","p00","Número de orden de secuencia de la persona censada.","","Los integrantes del hogar",""
1976,"poblacion","p02","Relación de parentesco con el jefa o jefe de familia.","Qué parentesco o relación tiene con el jefe del hogar? escoger uno de la lista . 1. Jefe(a), 2. Esposa o conviviente, 3. Hijo(a) o entenado, 4. Yerno o Nuera, 5. Nieto (a), 6. Padre o Suegro, 7. Otro pariente, 8. Empleados, 9. No familiar","Los integrantes del hogar",""
1976,"poblacion","p03","Sexo de la persona censada no tendencia ni como se identifica.","Es hombre o mujer? 1. Hombre, 2. Mujer","Los integrantes del hogar",""
1976,"poblacion","p04","Edad exacta de la persona censada.","Cuantos años cumplidos tiene?","Los integrantes del hogar",""
1976,"poblacion","p05","Estado civil de la persona censada","Cuál es su estado civil actual? 1. Soltero, 2. Casado(a) o conviviente, 3.Viudo (a), 4. Divorciado(a) o separado","Personas de 12 años y más edad",""
1976,"poblacion","p06","Donde reside actualmente.","Dónde reside habitualmente?","Los integrantes del hogar",""
1976,"poblacion","p07","Fecha de nacimiento.","Dónde Nació? 1.Aquí, 2. Otra localidad, 3.Provincia, 4 Depratamento u otro país","Los integrantes del hogar",""
1976,"poblacion","p08","Donde residía hace 5 años","Dónde residía habitualmente hace 5 años? (1971)","Los integrantes del hogar",""
